name,korean_name,initial_count,current_count,increase,increase_percent,recommendation_count,comment_count,post_date,post_title,last_accessed,last_updated,url
ewha_fraud,이화여자대 사기,74,80,6,8.11,0,0,2025-07-17 21:22:20,,2025-08-05,2025-08-06 05:14:10,https://gall.dcinside.com/board/view/?id=ewhawomans_univ&no=41313&page=1
r-hallym_hrw,한림대 HRW,36,42,6,16.67,0,0,2025-07-21 12:20:01,,2025-08-05,2025-08-06 05:15:38,https://gall.dcinside.com/board/view/?id=hallym&no=33171&page=1
r-hallym,한림대,64,69,5,7.81,0,0,2025-07-15 22:02:16,,2025-08-05,2025-08-06 05:08:51,https://gall.dcinside.com/board/view/?id=hallym&no=33170&page=1
r-chungbuk_nat,충북대,127,131,4,3.15,0,0,2025-07-14 20:57:37,,2025-08-05,2025-08-06 05:05:54,https://gall.dcinside.com/board/view/?id=chungbuk&no=225346&page=1
r-busan_foreign_hrw,부산외국어대 HRW,60,64,4,6.67,0,0,2025-07-21 11:56:52,,2025-08-05,2025-08-06 05:14:43,https://gall.dcinside.com/mgallery/board/view/?id=bufs&no=8604&page=1
r-chungbuk_nat_hrw,충북대 HRW,128,132,4,3.12,0,0,2025-07-14 20:57:37,,2025-08-05,2025-08-06 05:14:58,https://gall.dcinside.com/board/view/?id=chungbuk&no=225346&page=1
r-pusan_hrw,부산대 HRW,50,54,4,8.0,0,0,2025-07-21 12:24:16,,2025-08-05,2025-08-06 05:15:47,https://gall.dcinside.com/board/view/?id=pusanu&no=652838&page=1
dongguk,동국대,837,840,3,0.36,0,6,2025-04-25 02:03:20,,2025-08-05,2025-08-06 04:35:18,https://gall.dcinside.com/board/view/?id=dongguk&no=128215&page=1
korea_sex_traffic,고려대 성매매,217,220,3,1.38,0,0,2025-06-08 11:14:40,,2025-08-05,2025-08-06 04:42:58,https://gall.dcinside.com/board/view/?id=koreauniversity&no=143576&page=1
kyunghee_sex_traffic,경희대 성매매,145,148,3,2.07,0,0,2025-06-18 07:38:18,,2025-08-05,2025-08-06 04:43:13,https://gall.dcinside.com/board/view/?id=khu&no=444066&page=1
swu_sex_traffic,서울여대 성매매,170,173,3,1.76,0,0,2025-06-19 10:35:04,,2025-08-05,2025-08-06 04:45:51,https://gall.dcinside.com/board/view/?id=swu&no=9279&page=1
seoul_womens_uni_faculty_firing,서울여자대 교수 해고,81,84,3,3.7,0,0,2025-06-28 10:37:02,,2025-08-05,2025-08-06 05:01:53,https://gall.dcinside.com/board/view/?id=swu&no=9285&page=1
feminism_defamation_law,페미니즘 명예훼손법,62,65,3,4.84,0,0,2025-07-01 19:48:54,,2025-08-05,2025-08-06 05:02:20,https://gall.dcinside.com/mgallery/board/view/?id=feminism1&no=712&page=1
k_arts_fraud,한국예술종합학교 사기,70,73,3,4.29,0,0,2025-07-17 22:01:16,,2025-08-05,2025-08-06 05:14:25,https://gall.dcinside.com/mgallery/board/view/?id=knua&no=550&page=1
r-kyonggi_hrw,경기대 HRW,67,70,3,4.48,0,0,2025-07-21 12:07:03,,2025-08-05,2025-08-06 05:15:13,https://gall.dcinside.com/board/view/?id=kyonggi&no=121476&page=1
seoul_municipal_hrw,서울시립대 HRW,43,46,3,6.98,0,0,2025-07-21 12:43:17,,2025-08-05,2025-08-06 05:16:31,https://gall.dcinside.com/board/view/?id=uos&no=235849&page=1
r-honam_hrw,호남대 HRW,34,37,3,8.82,0,0,2025-07-21 11:57:42,,2025-08-05,2025-08-06 05:16:36,https://gall.dcinside.com/mgallery/board/view/?id=honam&no=739&page=1
k_arts_warning_custom,한국예술종합학교 경고,35,38,3,8.57,0,0,2025-07-28 13:47:35,,2025-08-05,2025-08-06 05:16:45,https://gall.dcinside.com/mgallery/board/view/?id=knua&no=556&page=1
duksung,덕성여대,231,233,2,0.87,0,1,2025-05-14 19:08:19,,2025-08-05,2025-08-06 04:38:15,https://gall.dcinside.com/board/view/?id=duksung&no=22848&page=1
dongguk_crisis,동국대 위기경고,437,439,2,0.46,0,0,2025-06-01 13:29:09,,2025-08-05,2025-08-06 04:42:52,https://gall.dcinside.com/board/view/?id=dongguk&no=128322&page=1
uos_sex_traffic,시립대 성매매,243,245,2,0.82,0,0,2025-06-08 10:38:04,,2025-08-05,2025-08-06 04:43:01,https://gall.dcinside.com/board/view/?id=uos&no=235792&page=1
feminism_traffic,페미 성매매,188,190,2,1.06,0,0,2025-06-08 09:44:37,,2025-08-05,2025-08-06 04:43:03,https://gall.dcinside.com/mgallery/board/view/?id=feminism1&no=697&page=1
dongduk_sex_traffic,동덕여대 성매매,188,190,2,1.06,1,0,2025-06-18 07:49:16,,2025-08-05,2025-08-06 04:43:17,https://gall.dcinside.com/board/view/?id=dongduk&no=466418&page=1
