english_name,korean_name,url,status,max_views,current_views,removed_date,last_updated
dongguk,동국대,https://gall.dcinside.com/board/view/?id=dongguk&no=128215,Active,1222,1222,,2026-02-19
dongdae_urgent,동대 긴급,https://gall.dcinside.com/board/view/?id=dongguk&no=128283,Active,548,548,,2026-02-19
feminism,페미니즘,https://gall.dcinside.com/mgallery/board/view/?id=feminism1&no=686,Removed,129,0,2025-06-04,2026-02-19
seoul national,서울대,https://gall.dcinside.com/board/view/?id=seouluniversity&no=232135,Removed,333,0,2025-08-19,2026-02-19
korea,고려대,https://gall.dcinside.com/board/view/?id=koreauniversity&no=143463,Removed,315,0,2025-09-11,2026-02-19
chungang,중앙대,https://gall.dcinside.com/board/view/?id=cau&no=372500,Active,593,593,,2026-02-19
hongik,홍익대,https://gall.dcinside.com/board/view/?id=hongik&no=195828,Removed,326,0,2025-08-13,2026-02-19
hanyang,한양대,https://gall.dcinside.com/board/view/?id=hanyang&no=202335,Removed,311,0,2025-08-13,2026-02-19
k-arts,한국예술종합학교,https://gall.dcinside.com/mgallery/board/view/?id=knua&no=537,Removed,243,0,2025-07-11,2026-02-19
yonsei,연세대,https://gall.dcinside.com/board/view/?id=yonseiuniversity&no=156687,Removed,263,0,2025-09-04,2026-02-19
sungyunkwan,성균관대,https://gall.dcinside.com/board/view/?id=skku&no=309040,Removed,341,0,2025-08-26,2026-02-19
kyunghee,경희대,https://gall.dcinside.com/board/view/?id=khu&no=443988,Removed,323,0,2025-08-17,2026-02-19
sogang,서강대,https://gall.dcinside.com/board/view/?id=sogang&no=648491,Active,504,504,,2026-02-19
ewha,이화여대,https://gall.dcinside.com/board/view/?id=ewhawomans_univ&no=41186,Removed,245,0,2025-08-12,2026-02-19
seoul municipal,서울시립대,https://gall.dcinside.com/board/view/?id=uos&no=235766,Removed,385,0,2025-09-06,2026-02-19
hufs,한국외대,https://gall.dcinside.com/board/view/?id=hufs&no=248682,Removed,287,0,2025-08-17,2026-02-19
konkuk,건국대,https://gall.dcinside.com/board/view/?id=konkuk&no=205667,Removed,292,0,2025-08-23,2026-02-19
sejong,세종대,https://gall.dcinside.com/board/view/?id=sejong&no=260392,Removed,377,0,2025-08-18,2026-02-19
dongdeok womens,동덕여대,https://gall.dcinside.com/board/view/?id=dongduk&no=465172,Removed,240,0,2025-06-04,2026-02-19
sungshin womens,성신여대,https://gall.dcinside.com/board/view/?id=sungshin&no=36802,Removed,218,0,2025-08-12,2026-02-19
duksung,덕성여대,https://gall.dcinside.com/board/view/?id=duksung&no=22848,Removed,253,0,2025-08-18,2026-02-19
sookmyung womens,숙명여대,https://gall.dcinside.com/board/view/?id=sookmyungwomans_univ&no=22530,Removed,283,0,2025-08-18,2026-02-19
seoul women's uni,서울여대,https://gall.dcinside.com/board/view/?id=swu&no=9263,Removed,256,0,2025-08-18,2026-02-19
suwon womens uni,수원여대,https://gall.dcinside.com/mini/board/view/?id=swu&no=30,Active,526,526,,2026-02-19
university students,대학생,https://gall.dcinside.com/mgallery/board/view/?id=univ&no=458,Active,457,457,,2026-02-19
antifeminism,반페미니즘,https://gall.dcinside.com/mgallery/board/view/?id=antifeminism&no=6379,Removed,20,0,2025-06-04,2026-02-19
dongguk_witnesses,동국대 성폭력 목격자,https://gall.dcinside.com/board/view/?id=dongguk&no=128298,Active,577,577,,2026-02-19
dongguk_crisis,동국대 위기경고,https://gall.dcinside.com/board/view/?id=dongguk&no=128322,Active,869,869,,2026-02-19
dongguk_racial,동국대 차별,https://gall.dcinside.com/board/view/?id=dongguk&no=128340,Active,429,429,,2026-02-19
snu_sex_traffic,서울대 성매매,https://gall.dcinside.com/board/view/?id=seouluniversity&no=232624,Removed,211,0,2025-08-19,2026-02-19
korea_sex_traffic,고려대 성매매,https://gall.dcinside.com/board/view/?id=koreauniversity&no=143576,Removed,286,0,2025-09-11,2026-02-19
uos_sex_traffic,시립대 성매매,https://gall.dcinside.com/board/view/?id=uos&no=235792,Removed,290,0,2025-09-06,2026-02-19
